,milage,accident,clean_title,price,horsepower,price_group,fuel_type_diesel,fuel_type_e85 flex fuel,fuel_type_electric,fuel_type_gasoline,fuel_type_hybrid,fuel_type_hydrogen,fuel_type_plug-in hybrid,transmission_category_automatic,transmission_category_manual
0,-0.31157918679202296,True,True,10300.0,-0.15180006337317056,1,False,True,False,False,False,False,False,True,False
1,-0.6193769625021365,True,True,38005.0,0.1103270896994545,1,False,False,False,True,False,False,False,True,False
2,-0.8535668066117506,False,False,54598.0,-0.11691622170951327,2,False,False,False,True,False,False,False,True,False
3,0.4059466896634638,False,True,15500.0,0.31913179908620304,2,False,False,False,False,True,False,False,True,False
4,-1.0909183082772502,False,False,34999.0,-1.2531327787543511,2,False,False,False,True,False,False,False,True,False
5,1.3051637491359243,False,False,14798.0,-0.9501416968757277,2,False,False,False,True,False,False,False,True,False
6,0.31317949191592065,False,True,31000.0,-0.22156774670048518,2,False,False,False,True,False,False,False,True,False
7,3.3044483172448627,False,True,7300.0,-0.30877735085962843,2,False,False,False,True,False,False,False,True,False
8,-0.8334230722437126,False,True,41927.0,-0.05586949879811298,2,False,False,False,True,False,False,False,True,False
9,-0.6334245667324787,False,True,69950.0,1.8889046739507818,2,False,False,True,False,False,False,False,True,False
10,-0.7544384295900901,False,False,73897.0,0.5458767698999755,2,False,False,False,True,False,False,False,True,False
12,-1.0404643119512904,False,True,53500.0,0.5633186907318042,1,False,False,False,True,False,False,False,True,False
13,-0.9326271775900649,False,True,62000.0,0.720295978218262,2,False,False,False,True,False,False,False,True,False
14,-0.9760384397196804,False,False,47998.0,-1.2531327787543511,2,False,False,False,True,False,False,False,True,False
15,0.2336647509894551,False,True,29990.0,0.5022719678204038,2,False,False,False,True,False,False,False,True,False
16,-1.2452147698369394,False,True,250000.0,-1.2531327787543511,2,False,False,False,True,False,False,False,True,False
17,-0.12085740105554343,False,True,16800.0,-0.10819526129359894,1,False,False,False,True,False,False,False,True,False
18,0.12385868018624079,False,True,11000.0,-0.2651725487800568,1,False,False,False,True,False,False,False,False,True
19,-0.6097594652662688,False,True,68750.0,2.028440040605411,2,False,False,False,True,False,False,False,True,False
20,-1.1748820882793631,False,False,60000.0,0.5022719678204038,2,False,False,False,True,False,False,False,True,False
